LeaugePlayed,Season,Date,HomeTeam,Score,AwayTeam
Süper Lig,2000-2001,11.08.2000,Kocaelispor,0-4,Fenerbahçe
Süper Lig,2000-2001,12.08.2000,Beşiktaş,3-0,Yozgatspor AŞ
Süper Lig,2000-2001,12.08.2000,Gençlerbirliği,0-0,Ç. Rizespor
Süper Lig,2000-2001,12.08.2000,Bursaspor,3-3,Gaziantepspor
Süper Lig,2000-2001,12.08.2000,Erzurumspor,1-3,Trabzonspor
Süper Lig,2000-2001,13.08.2000,İstanbulspor,1-6,Adanaspor
Süper Lig,2000-2001,13.08.2000,Siirtspor,1-2,Antalyaspor
Süper Lig,2000-2001,13.08.2000,Denizlispor,0-1,Galatasaray
Süper Lig,2000-2001,13.08.2000,Samsunspor,3-0,Ankaragücü
Süper Lig,2000-2001,18.08.2000,Antalyaspor,1-2,Beşiktaş
Süper Lig,2000-2001,19.08.2000,Ankaragücü,1-0,Kocaelispor
Süper Lig,2000-2001,19.08.2000,Yozgatspor AŞ,2-0,Denizlispor
Süper Lig,2000-2001,19.08.2000,Siirtspor,2-3,Ç. Rizespor
Süper Lig,2000-2001,19.08.2000,Galatasaray,7-0,Erzurumspor
Süper Lig,2000-2001,20.08.2000,Trabzonspor,2-1,Bursaspor
Süper Lig,2000-2001,20.08.2000,Gaziantepspor,4-0,Samsunspor
Süper Lig,2000-2001,20.08.2000,Gençlerbirliği,1-0,Adanaspor
Süper Lig,2000-2001,20.08.2000,Fenerbahçe,2-0,İstanbulspor
Süper Lig,2000-2001,25.08.2000,Samsunspor,1-1,Trabzonspor
Süper Lig,2000-2001,26.08.2000,Siirtspor,2-2,Adanaspor
Süper Lig,2000-2001,26.08.2000,Denizlispor,3-1,Erzurumspor
Süper Lig,2000-2001,26.08.2000,Gençlerbirliği,3-1,Fenerbahçe
Süper Lig,2000-2001,27.08.2000,İstanbulspor,0-2,Ankaragücü
Süper Lig,2000-2001,27.08.2000,Yozgatspor AŞ,0-0,Antalyaspor
Süper Lig,2000-2001,27.08.2000,Beşiktaş,2-1,Ç. Rizespor
Süper Lig,2000-2001,27.08.2000,Kocaelispor,1-2,Gaziantepspor
Süper Lig,2000-2001,06.09.2000,Bursaspor,0-2,Galatasaray
Süper Lig,2000-2001,08.09.2000,Adanaspor,1-1,Beşiktaş
Süper Lig,2000-2001,09.09.2000,Trabzonspor,2-1,Kocaelispor
Süper Lig,2000-2001,09.09.2000,Galatasaray,1-2,Samsunspor
Süper Lig,2000-2001,09.09.2000,Antalyaspor,4-1,Denizlispor
Süper Lig,2000-2001,09.09.2000,Ankaragücü,2-3,Gençlerbirliği
Süper Lig,2000-2001,10.09.2000,Yozgatspor AŞ,0-0,Ç. Rizespor
Süper Lig,2000-2001,10.09.2000,Gaziantepspor,0-0,İstanbulspor
Süper Lig,2000-2001,10.09.2000,Erzurumspor,5-0,Bursaspor
Süper Lig,2000-2001,10.09.2000,Fenerbahçe,4-2,Siirtspor
Süper Lig,2000-2001,15.09.2000,Kocaelispor,1-4,Galatasaray
Süper Lig,2000-2001,16.09.2000,Beşiktaş,3-0,Fenerbahçe
Süper Lig,2000-2001,16.09.2000,Denizlispor,1-1,Bursaspor
Süper Lig,2000-2001,16.09.2000,Samsunspor,2-2,Erzurumspor
Süper Lig,2000-2001,17.09.2000,Siirtspor,1-1,Ankaragücü
Süper Lig,2000-2001,17.09.2000,Yozgatspor AŞ,4-1,Adanaspor
Süper Lig,2000-2001,17.09.2000,Gençlerbirliği,2-0,Gaziantepspor
Süper Lig,2000-2001,17.09.2000,İstanbulspor,1-0,Trabzonspor
Süper Lig,2000-2001,17.09.2000,Antalyaspor,2-1,Ç. Rizespor
Süper Lig,2000-2001,22.09.2000,Ankaragücü,1-5,Beşiktaş
Süper Lig,2000-2001,23.09.2000,Gaziantepspor,4-0,Siirtspor
Süper Lig,2000-2001,23.09.2000,Galatasaray,1-1,İstanbulspor
Süper Lig,2000-2001,23.09.2000,Bursaspor,0-2,Samsunspor
Süper Lig,2000-2001,23.09.2000,Adanaspor,1-1,Antalyaspor
Süper Lig,2000-2001,24.09.2000,Fenerbahçe,3-1,Yozgatspor AŞ
Süper Lig,2000-2001,24.09.2000,Trabzonspor,2-0,Gençlerbirliği
Süper Lig,2000-2001,24.09.2000,Denizlispor,0-0,Ç. Rizespor
Süper Lig,2000-2001,24.09.2000,Erzurumspor,1-0,Kocaelispor
Süper Lig,2000-2001,29.09.2000,Denizlispor,3-1,Samsunspor
Süper Lig,2000-2001,30.09.2000,Gençlerbirliği,1-4,Galatasaray
Süper Lig,2000-2001,30.09.2000,İstanbulspor,1-0,Erzurumspor
Süper Lig,2000-2001,30.09.2000,Kocaelispor,0-0,Bursaspor
Süper Lig,2000-2001,01.10.2000,Siirtspor,1-4,Trabzonspor
Süper Lig,2000-2001,01.10.2000,Yozgatspor AŞ,0-1,Ankaragücü
Süper Lig,2000-2001,01.10.2000,Beşiktaş,2-4,Gaziantepspor
Süper Lig,2000-2001,01.10.2000,Adanaspor,1-0,Ç. Rizespor
Süper Lig,2000-2001,01.10.2000,Antalyaspor,0-1,Fenerbahçe
Süper Lig,2000-2001,13.10.2000,Adanaspor,2-3,Denizlispor
Süper Lig,2000-2001,14.10.2000,Trabzonspor,2-0,Beşiktaş
Süper Lig,2000-2001,14.10.2000,Gaziantepspor,3-1,Yozgatspor AŞ
Süper Lig,2000-2001,14.10.2000,Galatasaray,4-1,Siirtspor
Süper Lig,2000-2001,14.10.2000,Bursaspor,2-5,İstanbulspor
Süper Lig,2000-2001,15.10.2000,Ankaragücü,1-1,Antalyaspor
Süper Lig,2000-2001,15.10.2000,Fenerbahçe,1-0,Ç. Rizespor
Süper Lig,2000-2001,15.10.2000,Samsunspor,3-0,Kocaelispor
Süper Lig,2000-2001,15.10.2000,Erzurumspor,1-2,Gençlerbirliği
Süper Lig,2000-2001,19.10.2000,Antalyaspor,2-2,Gaziantepspor
Süper Lig,2000-2001,20.10.2000,Adanaspor,1-1,Fenerbahçe
Süper Lig,2000-2001,21.10.2000,Siirtspor,1-1,Erzurumspor
Süper Lig,2000-2001,21.10.2000,Gençlerbirliği,0-1,Bursaspor
Süper Lig,2000-2001,21.10.2000,Yozgatspor AŞ,1-1,Trabzonspor
Süper Lig,2000-2001,21.10.2000,Denizlispor,2-1,Kocaelispor
Süper Lig,2000-2001,21.10.2000,İstanbulspor,0-0,Samsunspor
Süper Lig,2000-2001,21.10.2000,Beşiktaş,3-1,Galatasaray
Süper Lig,2000-2001,21.10.2000,Ç. Rizespor,1-1,Ankaragücü
Süper Lig,2000-2001,27.10.2000,Fenerbahçe,5-2,Denizlispor
Süper Lig,2000-2001,28.10.2000,Trabzonspor,4-0,Antalyaspor
Süper Lig,2000-2001,28.10.2000,Ankaragücü,4-0,Adanaspor
Süper Lig,2000-2001,28.10.2000,Bursaspor,3-2,Siirtspor
Süper Lig,2000-2001,28.10.2000,Erzurumspor,1-3,Beşiktaş
Süper Lig,2000-2001,29.10.2000,Gaziantepspor,2-1,Ç. Rizespor
Süper Lig,2000-2001,29.10.2000,Samsunspor,1-2,Gençlerbirliği
Süper Lig,2000-2001,29.10.2000,Kocaelispor,1-1,İstanbulspor
Süper Lig,2000-2001,29.10.2000,Galatasaray,3-0,Yozgatspor AŞ
Süper Lig,2000-2001,03.11.2000,Ç. Rizespor,2-1,Trabzonspor
Süper Lig,2000-2001,04.11.2000,Gençlerbirliği,0-0,Kocaelispor
Süper Lig,2000-2001,04.11.2000,Denizlispor,0-4,İstanbulspor
Süper Lig,2000-2001,04.11.2000,Beşiktaş,2-1,Bursaspor
Süper Lig,2000-2001,05.11.2000,Siirtspor,1-2,Samsunspor
Süper Lig,2000-2001,05.11.2000,Adanaspor,0-1,Gaziantepspor
Süper Lig,2000-2001,05.11.2000,Yozgatspor AŞ,4-0,Erzurumspor
Süper Lig,2000-2001,05.11.2000,Fenerbahçe,5-1,Ankaragücü
Süper Lig,2000-2001,10.11.2000,Gaziantepspor,2-1,Fenerbahçe
Süper Lig,2000-2001,11.11.2000,Erzurumspor,0-1,Antalyaspor
Süper Lig,2000-2001,11.11.2000,İstanbulspor,2-1,Gençlerbirliği
Süper Lig,2000-2001,11.11.2000,Bursaspor,1-4,Yozgatspor AŞ
Süper Lig,2000-2001,11.11.2000,Galatasaray,2-0,Ç. Rizespor
Süper Lig,2000-2001,12.11.2000,Trabzonspor,3-3,Adanaspor
Süper Lig,2000-2001,12.11.2000,Ankaragücü,3-1,Denizlispor
Süper Lig,2000-2001,12.11.2000,Kocaelispor,1-1,Siirtspor
Süper Lig,2000-2001,12.11.2000,Samsunspor,2-3,Beşiktaş
Süper Lig,2000-2001,17.11.2000,Beşiktaş,3-2,Kocaelispor
Süper Lig,2000-2001,18.11.2000,Ç. Rizespor,4-1,Erzurumspor
