Ligue 1
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2000-2001,20.12.2000,Marsilya       2,-,1     Monaco
2000-2001,21.12.2000,Bordeaux       0,-,2     Nantes
2000-2001,22.12.2000,Lyon       2,-,1     St Etienne
2000-2001,12.01.2001,Lens       0,-,0     Lyon
2000-2001,13.01.2001,Nantes       1,-,1     AJ Auxerre
2000-2001,26.01.2001,Bordeaux       3,-,0     Marsilya
2000-2001,27.01.2001,Lyon       3,-,1     Nantes
2000-2001,03.02.2001,Nantes       1,-,0     PSG
2000-2001,04.02.2001,Lens       0,-,1     Lille
2000-2001,06.02.2001,Rennes       3,-,0     St Etienne
2000-2001,07.02.2001,Sedan       2,-,1     Troyes
2000-2001,17.02.2001,Marsilya       1,-,0     PSG
2000-2001,18.02.2001,Nantes       1,-,0     Strasbourg
2000-2001,23.02.2001,Troyes       3,-,1     Rennes
2000-2001,24.02.2001,Troyes       3,-,1     Rennes
2000-2001,03.03.2001,Lyon       2,-,1     Bordeaux
2000-2001,04.03.2001,Rennes       0,-,2     Nantes
2000-2001,17.03.2001,Toulouse       0,-,2     Lille
2000-2001,18.03.2001,Bordeaux       2,-,0     PSG
2000-2001,06.04.2001,Lille       2,-,2     Bordeaux
2000-2001,07.04.2001,Lyon       2,-,1     Monaco
2000-2001,11.04.2001,Strasbourg       0,-,1     Metz
2000-2001,12.04.2001,Strasbourg       0,-,1     Metz
2000-2001,14.04.2001,Nantes       1,-,0     Bastia
2000-2001,15.04.2001,Lyon       2,-,0     PSG
2000-2001,28.04.2001,Metz       1,-,0     Marsilya
2000-2001,29.04.2001,Troyes       0,-,1     Nantes
2000-2001,04.05.2001,Lens       1,-,1     Troyes
2000-2001,12.05.2001,Toulouse       2,-,1     Metz
2000-2001,19.05.2001,Monaco       1,-,2     Lille
2000-2001,28.07.2000,Marsilya       3,-,1     Troyes
2000-2001,29.07.2000,Lyon       2,-,2     Rennes
2000-2001,03.08.2000,Sedan       1,-,1     Lyon
2000-2001,04.08.2000,Monaco       2,-,5     Nantes
2000-2001,05.08.2000,Rennes       1,-,1     PSG
2000-2001,12.08.2000,AJ Auxerre       1,-,0     Bastia
2000-2001,13.08.2000,PSG       2,-,1     Sedan
2000-2001,18.08.2000,Bastia       2,-,0     Lyon
2000-2001,19.08.2000,St Etienne       1,-,0     Bordeaux
2000-2001,20.08.2000,Monaco       1,-,0     Guingamp
2000-2001,26.08.2000,Lille       2,-,1     Metz
2000-2001,27.08.2000,AJ Auxerre       4,-,3     St Etienne
2000-2001,05.09.2000,Monaco       0,-,2     Marsilya
2000-2001,06.09.2000,St Etienne       2,-,2     Lyon
2000-2001,10.10.2000,Sedan       2,-,1     Rennes
2000-2001,09.09.2000,Sedan       1,-,0     Monaco
2000-2001,10.09.2000,Toulouse       2,-,0     Marsilya
2000-2001,16.09.2000,Lens       1,-,1     PSG
2000-2001,17.09.2000,Nantes       0,-,1     Lyon
2000-2001,23.09.2000,AJ Auxerre       0,-,1     Marsilya
2000-2001,24.09.2000,Lille       2,-,1     Lens
2000-2001,30.09.2000,Guingamp       1,-,1     PSG
2000-2001,01.10.2000,Nantes       0,-,0     Lille
2000-2001,13.10.2000,Bastia       0,-,2     Monaco
2000-2001,14.10.2000,Strasbourg       0,-,5     Nantes
2000-2001,15.10.2000,AJ Auxerre       0,-,2     Bordeaux
2000-2001,13.12.2000,Lyon       4,-,1     Toulouse
2000-2001,21.10.2000,Toulouse       2,-,3     PSG
2000-2001,22.10.2000,Marsilya       0,-,1     Lille
2000-2001,28.10.2000,Strasbourg       1,-,1     Marsilya
2000-2001,29.10.2000,Troyes       1,-,0     Monaco
2000-2001,03.11.2000,Monaco       0,-,2     Lyon
2000-2001,04.11.2000,AJ Auxerre       1,-,0     PSG
2000-2001,10.11.2000,St Etienne       1,-,0     Monaco
2000-2001,11.11.2000,PSG       1,-,1     Lyon
2000-2001,12.11.2000,Strasbourg       0,-,2     Bordeaux
2000-2001,17.11.2000,Marsilya       4,-,1     Metz
2000-2001,18.11.2000,Monaco       2,-,0     PSG
2000-2001,19.11.2000,AJ Auxerre       1,-,2     Strasbourg
2000-2001,25.11.2000,Bastia       3,-,0     Marsilya
2000-2001,26.11.2000,St Etienne       0,-,2     Nantes
2000-2001,28.11.2000,Guingamp       0,-,1     Lens
2000-2001,29.11.2000,AJ Auxerre       1,-,0     Metz
2000-2001,02.12.2000,Metz       0,-,0     Lyon
2000-2001,03.12.2000,Lens       1,-,0     Marsilya
2000-2001,09.12.2000,PSG       1,-,0     Metz
2000-2001,10.12.2000,Marsilya       2,-,0     Nantes
2000-2001,16.12.2000,Guingamp       1,-,0     Marsilya
2000-2001,17.12.2000,Nantes       3,-,2     Toulouse
2001-2002,27.07.2001,Bordeaux       2,-,0     Nantes
2001-2002,28.07.2001,Rennes       0,-,5     AJ Auxerre
2001-2002,03.08.2001,Marsilya       0,-,0     Bordeaux
2001-2002,04.08.2001,Lyon       2,-,0     Sedan
2001-2002,11.08.2001,Bordeaux       0,-,0     Lille
2001-2002,12.08.2001,Bastia       1,-,2     Lyon
2001-2002,18.08.2001,Lyon       3,-,0     Guingamp
2001-2002,19.08.2001,AJ Auxerre       2,-,1     Sedan
2001-2002,25.08.2001,Troyes       0,-,2     Lyon
