Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2000-2001,11.08.2000,B. Dortmund       1,0     H. Rostock
2000-2001,12.08.2000,Werder Bremen       3,1     E. Cottbus
2000-2001,13.08.2000,Schalke 04       2,1     Köln
2000-2001,18.08.2000,E. Cottbus       1,4     B. Dortmund
2000-2001,19.08.2000,Stuttgart       4,1     B. Leverkusen
2000-2001,20.08.2000,H. Rostock       0,4     Schalke 04
2000-2001,05.09.2000,B. Leverkusen       1,0     Unterhaching
2000-2001,06.09.2000,Bayern Münih       3,1     Wolfsburg
2000-2001,08.09.2000,Unterhaching       0,0     Kaiserslautern
2000-2001,09.09.2000,Werder Bremen       1,2     B. Dortmund
2000-2001,10.09.2000,H. Rostock       0,0     Freiburg
2000-2001,15.09.2000,Kaiserslautern       3,1     Köln
2000-2001,16.09.2000,Bayern Münih       3,1     Unterhaching
2000-2001,17.09.2000,Schalke 04       1,1     Werder Bremen
2000-2001,22.09.2000,1860 München       3,1     Freiburg
2000-2001,23.09.2000,Werder Bremen       1,1     E. Frankfurt
2000-2001,24.09.2000,H. Rostock       1,0     Kaiserslautern
2000-2001,29.09.2000,E. Frankfurt       1,1     B. Dortmund
2000-2001,30.09.2000,Bayern Münih       0,1     H. Rostock
2000-2001,01.10.2000,Wolfsburg       2,2     Stuttgart
2000-2001,13.10.2000,B. Dortmund       1,0     Freiburg
2000-2001,14.10.2000,Werder Bremen       3,3     B. Leverkusen
2000-2001,15.10.2000,H. Rostock       0,2     Hertha Berlin
2000-2001,20.10.2000,Kaiserslautern       2,0     Werder Bremen
2000-2001,21.10.2000,Bayern Münih       3,1     1860 München
2000-2001,22.10.2000,Bochum       1,2     H. Rostock
2000-2001,27.10.2000,E. Cottbus       2,0     Bochum
2000-2001,28.10.2000,Werder Bremen       1,1     Bayern Münih
2000-2001,29.10.2000,1860 München       0,1     Hertha Berlin
2000-2001,03.11.2000,B. Leverkusen       1,0     E. Frankfurt
2000-2001,04.11.2000,Bayern Münih       6,2     B. Dortmund
2000-2001,05.11.2000,Wolfsburg       1,1     E. Cottbus
2000-2001,10.11.2000,B. Dortmund       2,0     Hertha Berlin
2000-2001,11.11.2000,Werder Bremen       2,0     Bochum
2000-2001,12.11.2000,E. Frankfurt       3,1     Kaiserslautern
2000-2001,17.11.2000,Stuttgart       2,2     1860 München
2000-2001,18.11.2000,Bayern Münih       1,2     E. Frankfurt
2000-2001,19.11.2000,Bochum       1,1     B. Dortmund
2000-2001,24.11.2000,Schalke 04       2,1     Bochum
2000-2001,25.11.2000,B. Dortmund       2,1     Wolfsburg
2000-2001,26.11.2000,Werder Bremen       1,0     Stuttgart
2000-2001,02.12.2000,Bayern Münih       2,0     B. Leverkusen
2000-2001,03.12.2000,Kaiserslautern       2,1     Hamburg
2000-2001,08.12.2000,E. Frankfurt       1,2     Wolfsburg
2000-2001,09.12.2000,B. Dortmund       3,0     Unterhaching
2000-2001,10.12.2000,Werder Bremen       2,1     Köln
2000-2001,12.12.2000,Stuttgart       4,1     E. Frankfurt
2000-2001,13.12.2000,Bayern Münih       2,1     Hamburg
2000-2001,15.12.2000,Unterhaching       2,0     E. Frankfurt
2000-2001,16.12.2000,Stuttgart       0,0     Freiburg
2000-2001,17.12.2000,Hertha Berlin       1,3     Bayern Münih
2000-2001,20.12.2000,Unterhaching       0,0     Werder Bremen
2000-2001,26.01.2001,Schalke 04       2,0     H. Rostock
2000-2001,27.01.2001,Werder Bremen       2,0     1860 München
2000-2001,28.01.2001,B. Leverkusen       4,0     Stuttgart
2000-2001,02.02.2001,1860 München       1,0     B. Dortmund
2000-2001,03.02.2001,Werder Bremen       3,1     Hamburg
