LeaugePlayed,Season,Date,HomeTeam,Score,AwayTeam
Süper Lig,2022-2023,05.08.2022,İstanbulspor,0-2,Trabzonspor
Süper Lig,2022-2023,06.08.2022,Sivasspor,1-1,Gaziantep FK
Süper Lig,2022-2023,06.08.2022,Beşiktaş,1-0,Kayserispor
Süper Lig,2022-2023,07.08.2022,F. Karagümrük,2-4,Alanyaspor
Süper Lig,2022-2023,07.08.2022,Giresunspor,2-3,Adana Demirspor
Süper Lig,2022-2023,07.08.2022,Antalyaspor,0-1,Galatasaray
Süper Lig,2022-2023,08.08.2022,Başakşehir,4-0,Kasımpaşa
Süper Lig,2022-2023,08.08.2022,Ankaragücü,0-0,Konyaspor
Süper Lig,2022-2023,08.08.2022,Fenerbahçe,3-3,Ümraniyespor
Süper Lig,2022-2023,12.08.2022,Trabzonspor,1-0,Hatayspor
Süper Lig,2022-2023,13.08.2022,Kayserispor,1-0,İstanbulspor
Süper Lig,2022-2023,13.08.2022,Galatasaray,0-1,Giresunspor
Süper Lig,2022-2023,13.08.2022,Adana Demirspor,3-0,Sivasspor
Süper Lig,2022-2023,14.08.2022,Ümraniyespor,0-1,Antalyaspor
Süper Lig,2022-2023,14.08.2022,Gaziantep FK,1-0,Ankaragücü
Süper Lig,2022-2023,14.08.2022,Alanyaspor,3-3,Beşiktaş
Süper Lig,2022-2023,15.08.2022,Konyaspor,0-0,Başakşehir
Süper Lig,2022-2023,15.08.2022,Kasımpaşa,0-6,Fenerbahçe
Süper Lig,2022-2023,19.08.2022,Ümraniyespor,0-1,Galatasaray
Süper Lig,2022-2023,20.08.2022,Giresunspor,1-0,Kasımpaşa
Süper Lig,2022-2023,20.08.2022,Hatayspor,1-2,Gaziantep FK
Süper Lig,2022-2023,20.08.2022,Antalyaspor,5-2,Trabzonspor
Süper Lig,2022-2023,21.08.2022,Başakşehir,2-0,Kayserispor
Süper Lig,2022-2023,21.08.2022,Beşiktaş,4-1,F. Karagümrük
Süper Lig,2022-2023,22.08.2022,Sivasspor,1-1,Alanyaspor
Süper Lig,2022-2023,22.08.2022,İstanbulspor,0-4,Konyaspor
Süper Lig,2022-2023,22.08.2022,Fenerbahçe,4-2,Adana Demirspor
Süper Lig,2022-2023,26.08.2022,Gaziantep FK,5-2,Antalyaspor
Süper Lig,2022-2023,27.08.2022,F. Karagümrük,4-1,Ankaragücü
Süper Lig,2022-2023,27.08.2022,Alanyaspor,0-1,İstanbulspor
Süper Lig,2022-2023,27.08.2022,Adana Demirspor,1-0,Ümraniyespor
Süper Lig,2022-2023,28.08.2022,Kasımpaşa,1-0,Hatayspor
Süper Lig,2022-2023,28.08.2022,Kayserispor,3-0,Giresunspor
Süper Lig,2022-2023,28.08.2022,Trabzonspor,0-0,Galatasaray
Süper Lig,2022-2023,29.08.2022,Konyaspor,1-0,Fenerbahçe
Süper Lig,2022-2023,29.08.2022,Beşiktaş,3-1,Sivasspor
Süper Lig,2022-2023,02.09.2022,Ümraniyespor,0-1,Trabzonspor
Süper Lig,2022-2023,03.09.2022,Sivasspor,0-0,F. Karagümrük
Süper Lig,2022-2023,03.09.2022,Başakşehir,2-0,Alanyaspor
Süper Lig,2022-2023,03.09.2022,Fenerbahçe,2-0,Kayserispor
Süper Lig,2022-2023,03.09.2022,Giresunspor,0-1,Konyaspor
Süper Lig,2022-2023,04.09.2022,Hatayspor,1-1,Adana Demirspor
Süper Lig,2022-2023,04.09.2022,Antalyaspor,0-2,Kasımpaşa
Süper Lig,2022-2023,04.09.2022,Ankaragücü,2-3,Beşiktaş
Süper Lig,2022-2023,05.09.2022,Galatasaray,2-1,Gaziantep FK
Süper Lig,2022-2023,09.09.2022,Alanyaspor,2-1,Ankaragücü
Süper Lig,2022-2023,10.09.2022,Konyaspor,1-0,Hatayspor
Süper Lig,2022-2023,10.09.2022,F. Karagümrük,1-1,Giresunspor
Süper Lig,2022-2023,11.09.2022,Sivasspor,1-1,İstanbulspor
Süper Lig,2022-2023,11.09.2022,Gaziantep FK,1-1,Ümraniyespor
Süper Lig,2022-2023,11.09.2022,Kasımpaşa,2-3,Galatasaray
Süper Lig,2022-2023,11.09.2022,Kayserispor,1-0,Antalyaspor
Süper Lig,2022-2023,12.09.2022,Beşiktaş,0-1,Başakşehir
Süper Lig,2022-2023,12.09.2022,Adana Demirspor,3-2,Trabzonspor
Süper Lig,2022-2023,16.09.2022,Galatasaray,2-1,Konyaspor
Süper Lig,2022-2023,16.09.2022,Hatayspor,0-4,Kayserispor
Süper Lig,2022-2023,17.09.2022,Ümraniyespor,1-2,Kasımpaşa
Süper Lig,2022-2023,17.09.2022,Antalyaspor,0-3,Adana Demirspor
Süper Lig,2022-2023,17.09.2022,İstanbulspor,2-2,Beşiktaş
Süper Lig,2022-2023,18.09.2022,Trabzonspor,3-2,Gaziantep FK
Süper Lig,2022-2023,18.09.2022,Başakşehir,0-0,F. Karagümrük
Süper Lig,2022-2023,18.09.2022,Ankaragücü,2-1,Sivasspor
Süper Lig,2022-2023,18.09.2022,Fenerbahçe,5-0,Alanyaspor
Süper Lig,2022-2023,01.10.2022,Kasımpaşa,1-0,Gaziantep FK
Süper Lig,2022-2023,01.10.2022,Ankaragücü,1-2,Başakşehir
Süper Lig,2022-2023,01.10.2022,Kayserispor,1-2,Trabzonspor
Süper Lig,2022-2023,01.10.2022,Adana Demirspor,0-0,Galatasaray
Süper Lig,2022-2023,02.10.2022,Alanyaspor,1-1,Giresunspor
Süper Lig,2022-2023,02.10.2022,Sivasspor,1-2,Hatayspor
Süper Lig,2022-2023,02.10.2022,Konyaspor,1-0,Ümraniyespor
Süper Lig,2022-2023,02.10.2022,Beşiktaş,0-0,Fenerbahçe
Süper Lig,2022-2023,03.10.2022,F. Karagümrük,1-2,İstanbulspor
Süper Lig,2022-2023,07.10.2022,Gaziantep FK,1-1,Adana Demirspor
Süper Lig,2022-2023,08.10.2022,İstanbulspor,1-2,Ankaragücü
Süper Lig,2022-2023,08.10.2022,Antalyaspor,1-1,Konyaspor
Süper Lig,2022-2023,08.10.2022,Giresunspor,0-1,Beşiktaş
Süper Lig,2022-2023,09.10.2022,Ümraniyespor,2-2,Kayserispor
Süper Lig,2022-2023,09.10.2022,Hatayspor,1-0,Alanyaspor
Süper Lig,2022-2023,09.10.2022,Fenerbahçe,5-4,F. Karagümrük
Süper Lig,2022-2023,10.10.2022,Trabzonspor,0-0,Kasımpaşa
Süper Lig,2022-2023,10.10.2022,Başakşehir,0-2,Sivasspor
Süper Lig,2022-2023,14.10.2022,Alanyaspor,3-2,Antalyaspor
Süper Lig,2022-2023,15.10.2022,F. Karagümrük,3-0,Hatayspor
Süper Lig,2022-2023,15.10.2022,Kasımpaşa,1-4,Adana Demirspor
Süper Lig,2022-2023,15.10.2022,Konyaspor,0-1,Gaziantep FK
Süper Lig,2022-2023,15.10.2022,Kayserispor,2-1,Galatasaray
Süper Lig,2022-2023,16.10.2022,Başakşehir,2-0,İstanbulspor
Süper Lig,2022-2023,16.10.2022,Beşiktaş,2-2,Trabzonspor
Süper Lig,2022-2023,17.10.2022,Sivasspor,3-0,Giresunspor
Süper Lig,2022-2023,17.10.2022,Ankaragücü,0-3,Fenerbahçe
Süper Lig,2022-2023,21.10.2022,Antalyaspor,2-1,İstanbulspor
Süper Lig,2022-2023,22.10.2022,Ümraniyespor,1-3,F. Karagümrük
Süper Lig,2022-2023,22.10.2022,Trabzonspor,1-0,Sivasspor
Süper Lig,2022-2023,22.10.2022,Fenerbahçe,1-0,Başakşehir
Süper Lig,2022-2023,23.10.2022,Kasımpaşa,0-1,Kayserispor
Süper Lig,2022-2023,23.10.2022,Adana Demirspor,1-1,Konyaspor
Süper Lig,2022-2023,23.10.2022,Galatasaray,2-2,Alanyaspor
Süper Lig,2022-2023,24.10.2022,Giresunspor,1-1,Ankaragücü
Süper Lig,2022-2023,24.10.2022,Hatayspor,2-1,Beşiktaş
Süper Lig,2022-2023,28.10.2022,F. Karagümrük,0-2,Galatasaray
Süper Lig,2022-2023,29.10.2022,Konyaspor,1-1,Kasımpaşa
Süper Lig,2022-2023,29.10.2022,Alanyaspor,2-0,Gaziantep FK
Süper Lig,2022-2023,30.10.2022,Ankaragücü,4-1,Hatayspor
Süper Lig,2022-2023,30.10.2022,Beşiktaş,5-2,Ümraniyespor
Süper Lig,2022-2023,30.10.2022,Kayserispor,2-2,Adana Demirspor
Süper Lig,2022-2023,30.10.2022,İstanbulspor,2-5,Fenerbahçe
Süper Lig,2022-2023,31.10.2022,Sivasspor,0-2,Antalyaspor
