La Liga
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2000-2001,09.09.2000,R. Sociedad       2,-,2     R. Santander
2000-2001,10.09.2000,Osasuna       0,-,2     Celta Vigo
2000-2001,16.09.2000,Ath. Bilbao       3,-,1     Barcelona
2000-2001,17.09.2000,Celta Vigo       4,-,1     R. Sociedad
2000-2001,23.09.2000,R. Sociedad       1,-,1     Deportivo
2000-2001,24.09.2000,Celta Vigo       1,-,0     Espanyol
2000-2001,30.09.2000,R. Santander       0,-,0     Real Madrid
2000-2001,01.10.2000,Alaves       2,-,0     Osasuna
2000-2001,14.10.2000,Espanyol       0,-,0     Rayo Vallecano
2000-2001,15.10.2000,Osasuna       0,-,0     Real Oviedo
2000-2001,18.10.2000,Espanyol       1,-,2     R. Sociedad
2000-2001,21.10.2000,Valencia       1,-,0     Real Zaragoza
2000-2001,22.10.2000,Rayo Vallecano       4,-,1     R. Sociedad
2000-2001,28.10.2000,Numancia       1,-,2     Deportivo
2000-2001,29.10.2000,Rayo Vallecano       0,-,1     Alaves
2000-2001,31.10.2000,Deportivo       4,-,0     Las Palmas
2000-2001,01.11.2000,Alaves       0,-,1     R. Sociedad
2000-2001,04.11.2000,Numancia       3,-,1     Real Madrid
2000-2001,05.11.2000,Alaves       4,-,0     Real Oviedo
2000-2001,11.11.2000,Deportivo       2,-,0     Real Zaragoza
2000-2001,12.11.2000,Real Oviedo       1,-,0     R. Sociedad
2000-2001,18.11.2000,Osasuna       1,-,1     Deportivo
2000-2001,19.11.2000,Real Oviedo       4,-,1     R. Valladolid
2000-2001,25.11.2000,Mallorca       2,-,1     Villarreal
2000-2001,26.11.2000,R. Valladolid       2,-,1     R. Sociedad
2000-2001,02.12.2000,R. Valladolid       0,-,0     Valencia
2000-2001,03.12.2000,Real Oviedo       3,-,2     Malaga
2000-2001,09.12.2000,Numancia       1,-,1     Real Zaragoza
2000-2001,10.12.2000,Malaga       3,-,1     R. Valladolid
2000-2001,16.12.2000,Rayo Vallecano       2,-,2     Barcelona
2000-2001,17.12.2000,R. Valladolid       0,-,0     Ath. Bilbao
2000-2001,19.12.2000,Real Madrid       3,-,1     Rayo Vallecano
2000-2001,20.12.2000,R. Santander       2,-,2     R. Valladolid
2000-2001,06.01.2001,Malaga       2,-,1     Ath. Bilbao
2000-2001,07.01.2001,Valencia       1,-,0     R. Santander
2000-2001,13.01.2001,Deportivo       2,-,0     Valencia
2000-2001,14.01.2001,R. Sociedad       0,-,2     Ath. Bilbao
2000-2001,20.01.2001,Valencia       0,-,1     Barcelona
2000-2001,21.01.2001,Ath. Bilbao       3,-,1     R. Santander
2000-2001,24.01.2001,Real Madrid       3,-,0     Real Zaragoza
2000-2001,27.01.2001,Espanyol       5,-,0     Real Zaragoza
2000-2001,28.01.2001,Celta Vigo       1,-,0     Osasuna
2000-2001,03.02.2001,Barcelona       7,-,0     Ath. Bilbao
2000-2001,04.02.2001,R. Sociedad       2,-,2     Celta Vigo
2000-2001,10.02.2001,Ath. Bilbao       1,-,0     Real Madrid
2000-2001,11.02.2001,Malaga       0,-,1     Mallorca
2000-2001,17.02.2001,Real Madrid       1,-,0     R. Santander
2000-2001,18.02.2001,R. Sociedad       2,-,1     Espanyol
2000-2001,24.02.2001,Deportivo       2,-,2     Real Madrid
2000-2001,25.02.2001,Rayo Vallecano       1,-,1     Espanyol
2000-2001,03.03.2001,Mallorca       2,-,1     Deportivo
2000-2001,04.03.2001,Espanyol       0,-,0     Alaves
2000-2001,10.03.2001,Valencia       1,-,0     Osasuna
2000-2001,11.03.2001,Alaves       4,-,2     Rayo Vallecano
2000-2001,17.03.2001,Las Palmas       2,-,0     Deportivo
2000-2001,18.03.2001,R. Sociedad       1,-,1     Alaves
2000-2001,31.03.2001,Real Madrid       1,-,0     Numancia
2000-2001,01.04.2001,Real Oviedo       3,-,3     Alaves
2000-2001,07.04.2001,Rayo Vallecano       1,-,4     Valencia
2000-2001,08.04.2001,R. Sociedad       3,-,0     Real Oviedo
2000-2001,14.04.2001,Deportivo       2,-,1     Osasuna
2000-2001,15.04.2001,R. Valladolid       1,-,0     Real Oviedo
2000-2001,21.04.2001,Celta Vigo       2,-,1     Deportivo
2000-2001,22.04.2001,R. Sociedad       3,-,1     R. Valladolid
2000-2001,28.04.2001,Valencia       1,-,0     R. Valladolid
2000-2001,29.04.2001,Malaga       2,-,2     Real Oviedo
2000-2001,05.05.2001,Celta Vigo       3,-,0     Real Madrid
2000-2001,06.05.2001,R. Valladolid       0,-,0     Malaga
2000-2001,11.05.2001,Deportivo       2,-,1     Alaves
2000-2001,12.05.2001,Villarreal       1,-,3     R. Sociedad
2000-2001,13.05.2001,Malaga       3,-,0     Valencia
2000-2001,18.05.2001,Valencia       1,-,0     Ath. Bilbao
2000-2001,19.05.2001,Alaves       0,-,1     Barcelona
2000-2001,20.05.2001,R. Valladolid       1,-,1     R. Santander
2000-2001,26.05.2001,Real Madrid       5,-,0     Alaves
2000-2001,27.05.2001,Ath. Bilbao       1,-,3     Malaga
2000-2001,10.06.2001,Espanyol       3,-,2     Las Palmas
2000-2001,16.06.2001,R. Santander       3,-,0     Ath. Bilbao
2000-2001,17.06.2001,Deportivo       4,-,0     Malaga
2001-2002,25.08.2001,Valencia       1,-,0     Real Madrid
2001-2002,26.08.2001,Deportivo       4,-,0     R. Valladolid
2001-2002,08.09.2001,Villarreal       3,-,0     Osasuna
2001-2002,09.09.2001,Celta Vigo       3,-,0     Tenerife
2001-2002,15.09.2001,Deportivo       1,-,2     Ath. Bilbao
2001-2002,16.09.2001,Malaga       1,-,2     R. Valladolid
2001-2002,22.09.2001,Real Madrid       5,-,1     Espanyol
2001-2002,23.09.2001,R. Valladolid       0,-,2     Real Betis
2001-2002,29.09.2001,R. Sociedad       0,-,2     Barcelona
2001-2002,30.09.2001,Real Betis       1,-,0     Las Palmas
2001-2002,03.10.2001,R. Valladolid       0,-,1     Espanyol
2001-2002,04.10.2001,Celta Vigo       1,-,1     Valencia
2001-2002,06.10.2001,Real Madrid       2,-,0     Ath. Bilbao
2001-2002,07.10.2001,R. Valladolid       1,-,0     Las Palmas
2001-2002,13.10.2001,Alaves       0,-,0     Real Madrid
2001-2002,14.10.2001,Las Palmas       2,-,0     Espanyol
2001-2002,20.10.2001,Real Betis       1,-,1     Villarreal
2001-2002,21.10.2001,R. Valladolid       1,-,3     Alaves
2001-2002,27.10.2001,Rayo Vallecano       2,-,1     Deportivo
2001-2002,28.10.2001,Alaves       1,-,0     Las Palmas
2001-2002,03.11.2001,Ath. Bilbao       2,-,1     Alaves
2001-2002,04.11.2001,Las Palmas       4,-,2     Celta Vigo
2001-2002,10.11.2001,Sevilla       0,-,0     Real Betis
2001-2002,11.11.2001,Alaves       2,-,1     Espanyol
2001-2002,17.11.2001,Real Madrid       2,-,1     Sevilla
2001-2002,18.11.2001,Alaves       1,-,0     Celta Vigo
2001-2002,24.11.2001,Barcelona       1,-,2     Ath. Bilbao
2001-2002,25.11.2001,Celta Vigo       4,-,1     Espanyol
2001-2002,01.12.2001,Real Madrid       2,-,1     Osasuna
2001-2002,02.12.2001,Ath. Bilbao       2,-,1     Real Zaragoza
2001-2002,08.12.2001,Sevilla       3,-,3     Ath. Bilbao
2001-2002,09.12.2001,Villarreal       1,-,1     Espanyol
2001-2002,15.12.2001,Real Madrid       3,-,1     R. Sociedad
2001-2002,16.12.2001,Villarreal       0,-,1     Barcelona
2001-2002,22.12.2001,Sevilla       0,-,1     Celta Vigo
2001-2002,23.12.2001,Real Zaragoza       3,-,2     Villarreal
2001-2002,05.01.2002,Villarreal       0,-,2     Sevilla
2001-2002,06.01.2002,Alaves       0,-,2     Osasuna
2001-2002,12.01.2002,Villarreal       1,-,1     Rayo Vallecano
2001-2002,13.01.2002,Real Betis       1,-,1     Malaga
2001-2002,19.01.2002,R. Sociedad       1,-,2     Alaves
2001-2002,20.01.2002,Espanyol       1,-,1     Real Betis
2001-2002,23.01.2002,Rayo Vallecano       2,-,0     Alaves
2001-2002,26.01.2002,Celta Vigo       3,-,1     R. Sociedad
2001-2002,27.01.2002,R. Valladolid       0,-,0     Malaga
2001-2002,02.02.2002,Mallorca       0,-,1     Celta Vigo
2001-2002,03.02.2002,Espanyol       2,-,1     Real Madrid
2001-2002,05.02.2002,Celta Vigo       0,-,2     Deportivo
2001-2002,06.02.2002,R. Valladolid       2,-,1     Real Madrid
2001-2002,09.02.2002,Valencia       0,-,0     Celta Vigo
2001-2002,10.02.2002,Espanyol       1,-,0     R. Valladolid
2001-2002,16.02.2002,Ath. Bilbao       2,-,1     Real Madrid
2001-2002,17.02.2002,Las Palmas       1,-,1     R. Valladolid
2001-2002,23.02.2002,Real Madrid       3,-,1     Alaves
2001-2002,24.02.2002,Espanyol       3,-,1     Las Palmas
2001-2002,02.03.2002,Celta Vigo       0,-,1     Real Madrid
2001-2002,03.03.2002,Alaves       3,-,1     R. Valladolid
2001-2002,09.03.2002,Real Betis       2,-,1     Barcelona
2001-2002,10.03.2002,Espanyol       2,-,0     Ath. Bilbao
2001-2002,16.03.2002,Osasuna       1,-,3     Deportivo
2001-2002,17.03.2002,Alaves       2,-,3     Ath. Bilbao
2001-2002,23.03.2002,Real Betis       0,-,0     Sevilla
2001-2002,24.03.2002,Espanyol       1,-,2     Alaves
2001-2002,30.03.2002,Sevilla       0,-,1     Real Madrid
2001-2002,31.03.2002,Villarreal       5,-,2     Ath. Bilbao
2001-2002,06.04.2002,Real Madrid       3,-,1     Rayo Vallecano
2001-2002,07.04.2002,Espanyol       2,-,0     Celta Vigo
2001-2002,13.04.2002,Mallorca       1,-,1     Valencia
2001-2002,14.04.2002,Villarreal       2,-,1     Celta Vigo
2001-2002,20.04.2002,Celta Vigo       2,-,1     Barcelona
2001-2002,21.04.2002,Espanyol       3,-,1     Villarreal
2001-2002,27.04.2002,Barcelona       4,-,1     Villarreal
2001-2002,28.04.2002,Real Zaragoza       0,-,1     Celta Vigo
2001-2002,05.05.2002,Barcelona       2,-,0     Espanyol
2001-2002,10.05.2002,Deportivo       3,-,0     Real Madrid
2001-2002,11.05.2002,Real Zaragoza       1,-,1     Barcelona
2002-2003,31.08.2002,R. Santander       0,-,1     R. Valladolid
2002-2003,01.09.2002,Rayo Vallecano       2,-,2     Alaves
2002-2003,02.09.2002,Real Madrid       2,-,0     Espanyol
2002-2003,14.09.2002,Osasuna       1,-,2     Deportivo
2002-2003,15.09.2002,Espanyol       1,-,3     R. Sociedad
2002-2003,21.09.2002,Barcelona       2,-,0     Espanyol
2002-2003,22.09.2002,Mallorca       0,-,4     Atl. Madrid
2002-2003,28.09.2002,Real Betis       3,-,0     Barcelona
2002-2003,29.09.2002,Ath. Bilbao       0,-,2     Mallorca
2002-2003,05.10.2002,Huelva       1,-,2     Ath. Bilbao
2002-2003,06.10.2002,R. Sociedad       2,-,1     R. Valladolid
2002-2003,08.10.2002,Real Betis       1,-,1     Real Madrid
2002-2003,19.10.2002,Villarreal       3,-,1     Deportivo
2002-2003,20.10.2002,Ath. Bilbao       1,-,1     Malaga
2002-2003,26.10.2002,Barcelona       6,-,1     Alaves
2002-2003,27.10.2002,Mallorca       2,-,0     Osasuna
