Serie A
Sezon,Tarih,Ev Sahibi,Skor,Deplasman
2000-2001,30.09.2000,Napoli       1,-,2     Juventus
2000-2001,01.10.2000,Milan       2,-,0     Vicenza
2000-2001,14.10.2000,Inter       3,-,1     Napoli
2000-2001,15.10.2000,Juventus       2,-,0     Bari
2000-2001,21.10.2000,Milan       2,-,2     Juventus
2000-2001,22.10.2000,Roma       3,-,1     Vicenza
2000-2001,01.11.2000,Juventus       1,-,2     Udinese
2000-2001,04.11.2000,Lazio       2,-,0     Bologna
2000-2001,05.11.2000,Milan       3,-,3     Atalanta
2000-2001,11.11.2000,Juventus       1,-,1     Lazio
2000-2001,12.11.2000,Roma       2,-,1     Reggina
2000-2001,18.11.2000,Inter       2,-,1     Perugia
2000-2001,19.11.2000,Udinese       3,-,0     Reggina
2000-2001,25.11.2000,Milan       1,-,0     Napoli
2000-2001,26.11.2000,Roma       1,-,0     Fiorentina
2000-2001,02.12.2000,Parma       2,-,0     Atalanta
2000-2001,03.12.2000,Inter       2,-,2     Juventus
2000-2001,09.12.2000,Brescia       1,-,1     Napoli
2000-2001,10.12.2000,Milan       4,-,1     Lecce
2000-2001,16.12.2000,Perugia       4,-,1     Bari
2000-2001,17.12.2000,Parma       0,-,2     Vicenza
2000-2001,22.12.2000,Roma       0,-,0     Juventus
2000-2001,23.12.2000,Milan       1,-,2     Perugia
2000-2001,06.01.2001,Juventus       3,-,3     Fiorentina
2000-2001,07.01.2001,Milan       2,-,2     Inter
2000-2001,13.01.2001,Brescia       1,-,0     Perugia
2000-2001,14.01.2001,Roma       1,-,1     Bari
2000-2001,20.01.2001,Lazio       2,-,0     Inter
2000-2001,21.01.2001,Milan       3,-,2     Roma
2000-2001,27.01.2001,Lecce       0,-,0     Bologna
2000-2001,28.01.2001,Roma       3,-,0     Napoli
2000-2001,03.02.2001,Atalanta       2,-,1     Juventus
2000-2001,04.02.2001,Milan       1,-,0     Reggina
2000-2001,10.02.2001,Inter       1,-,1     Reggina
2000-2001,11.02.2001,Juventus       3,-,0     Napoli
2000-2001,17.02.2001,Milan       3,-,3     Bologna
2000-2001,18.02.2001,Roma       1,-,0     Lecce
2000-2001,24.02.2001,Atalanta       0,-,0     Bari
2000-2001,25.02.2001,Juventus       3,-,0     Milan
2000-2001,03.03.2001,Brescia       0,-,1     Lazio
2000-2001,04.03.2001,Milan       2,-,2     Parma
2000-2001,10.03.2001,Atalanta       1,-,1     Milan
2000-2001,11.03.2001,Roma       3,-,1     Brescia
2000-2001,18.03.2001,Milan       4,-,0     Bari
2000-2001,19.03.2001,Brescia       0,-,3     Atalanta
2000-2001,31.03.2001,Vicenza       1,-,1     Fiorentina
2000-2001,01.04.2001,Milan       1,-,0     Lazio
2000-2001,08.04.2001,Inter       1,-,1     Vicenza
2000-2001,09.04.2001,Fiorentina       3,-,1     Roma
2000-2001,14.04.2001,Milan       3,-,0     Udinese
2000-2001,18.04.2001,Lazio       1,-,0     Parma
2000-2001,21.04.2001,Inter       4,-,2     Fiorentina
2000-2001,22.04.2001,Parma       0,-,0     Juventus
2000-2001,28.04.2001,Reggina       3,-,1     Napoli
2000-2001,29.04.2001,Milan       1,-,0     Hellas Verona
2000-2001,05.05.2001,Bologna       1,-,1     Udinese
2000-2001,06.05.2001,Juventus       2,-,2     Roma
2000-2001,11.05.2001,Inter       0,-,6     Milan
2000-2001,13.05.2001,Roma       1,-,0     Atalanta
2000-2001,17.05.2001,Milan       1,-,2     Fiorentina
2000-2001,20.05.2001,Lazio       3,-,1     Udinese
2000-2001,27.05.2001,Roma       1,-,1     Milan
2000-2001,10.06.2001,Milan       1,-,1     Brescia
2000-2001,17.06.2001,Roma       3,-,1     Parma
2001-2002,25.08.2001,Bologna       1,-,0     Atalanta
2001-2002,26.08.2001,Juventus       4,-,0     Venezia
2001-2002,08.09.2001,Roma       1,-,1     Udinese
2001-2002,09.09.2001,Milan       5,-,2     Fiorentina
2001-2002,15.09.2001,Juventus       3,-,2     Chievo
2001-2002,16.09.2001,Inter       2,-,1     Venezia
2001-2002,22.09.2001,Lecce       0,-,0     Juventus
2001-2002,23.09.2001,Milan       2,-,0     Lazio
2001-2002,29.09.2001,Juventus       0,-,2     Roma
2001-2002,30.09.2001,Inter       1,-,0     Bologna
2001-2002,13.10.2001,Lazio       2,-,0     Atalanta
2001-2002,14.10.2001,Milan       1,-,1     Venezia
2001-2002,20.10.2001,Bologna       0,-,0     Juventus
2001-2002,21.10.2001,Roma       5,-,1     Lecce
2001-2002,27.10.2001,Roma       2,-,0     Lazio
2001-2002,28.10.2001,Milan       0,-,0     Bologna
2001-2002,03.11.2001,Venezia       0,-,0     Chievo
2001-2002,04.11.2001,Parma       2,-,1     Perugia
2001-2002,17.11.2001,Roma       0,-,0     Inter
2001-2002,18.11.2001,Milan       0,-,0     Piacenza
2001-2002,24.11.2001,Lazio       1,-,0     Juventus
2001-2002,25.11.2001,Parma       0,-,1     Milan
2001-2002,01.12.2001,Juventus       2,-,0     Perugia
2001-2002,02.12.2001,Milan       3,-,2     Chievo
2001-2002,08.12.2001,Piacenza       2,-,0     Bologna
2001-2002,09.12.2001,Milan       1,-,1     Juventus
2001-2002,15.12.2001,Inter       1,-,2     Chievo
2001-2002,16.12.2001,Roma       1,-,0     Milan
2001-2002,19.12.2001,Roma       0,-,0     Brescia
2001-2002,22.12.2001,Lazio       2,-,2     Bologna
2001-2002,23.12.2001,Milan       2,-,1     Hellas Verona
2001-2002,05.01.2002,Lecce       0,-,1     Milan
2001-2002,06.01.2002,Roma       1,-,0     Torino
2001-2002,13.01.2002,Milan       0,-,0     Brescia
2001-2002,19.01.2002,Brescia       1,-,2     Torino
2001-2002,20.01.2002,Juventus       3,-,0     Atalanta
2001-2002,26.01.2002,Parma       2,-,1     Bologna
2001-2002,27.01.2002,Milan       2,-,3     Udinese
2001-2002,30.01.2002,Chievo       3,-,1     Lazio
2001-2002,02.02.2002,Inter       0,-,0     Torino
2001-2002,03.02.2002,Juventus       3,-,0     Lecce
2001-2002,09.02.2002,Chievo       1,-,2     Udinese
2001-2002,10.02.2002,Milan       1,-,1     Perugia
2001-2002,16.02.2002,Milan       0,-,0     Atalanta
2001-2002,17.02.2002,Parma       0,-,1     Torino
2001-2002,23.02.2002,Roma       1,-,0     Perugia
2001-2002,24.02.2002,Inter       3,-,2     Udinese
2001-2002,03.03.2002,Milan       0,-,1     Inter
2001-2002,09.03.2002,Inter       2,-,2     Juventus
2001-2002,10.03.2002,Lazio       1,-,5     Roma
2001-2002,13.03.2002,Parma       0,-,0     Chievo
2001-2002,16.03.2002,Roma       3,-,1     Atalanta
2001-2002,17.03.2002,Milan       2,-,1     Torino
2001-2002,23.03.2002,Parma       1,-,0     Juventus
2001-2002,24.03.2002,Inter       3,-,1     Roma
2001-2002,30.03.2002,Milan       3,-,1     Parma
2001-2002,06.04.2002,Torino       1,-,1     Bologna
2001-2002,07.04.2002,Parma       2,-,0     Udinese
2001-2002,14.04.2002,Roma       3,-,1     Parma
2001-2002,21.04.2002,Milan       0,-,0     Roma
2001-2002,28.04.2002,Roma       5,-,0     Chievo
2001-2002,05.05.2002,Milan       3,-,0     Lecce
2002-2003,14.09.2002,Inter       1,-,0     Torino
2002-2003,15.09.2002,Juventus       3,-,0     Atalanta
2002-2003,21.09.2002,Milan       3,-,0     Perugia
2002-2003,22.09.2002,Roma       1,-,2     Modena
2002-2003,28.09.2002,Juventus       2,-,2     Parma
2002-2003,29.09.2002,Inter       2,-,1     Chievo
2002-2003,05.10.2002,Roma       4,-,1     Udinese
2002-2003,06.10.2002,Milan       6,-,0     Torino
2002-2003,19.10.2002,Inter       1,-,1     Juventus
2002-2003,20.10.2002,Lazio       3,-,0     Perugia
2002-2003,26.10.2002,Juventus       1,-,0     Udinese
2002-2003,27.10.2002,Parma       2,-,1     Atalanta
2002-2003,02.11.2002,Udinese       0,-,0     Bologna
2002-2003,03.11.2002,Milan       2,-,0     Reggina
2002-2003,06.11.2002,Milan       1,-,0     Udinese
2002-2003,09.11.2002,Inter       1,-,2     Udinese
2002-2003,10.11.2002,Juventus       2,-,1     Milan
2002-2003,16.11.2002,Roma       2,-,2     Inter
2002-2003,17.11.2002,Milan       2,-,1     Parma
2002-2003,23.11.2002,Milan       1,-,0     Inter
2002-2003,24.11.2002,Parma       3,-,0     Roma
2002-2003,30.11.2002,Reggina       1,-,1     Chievo
2002-2003,01.12.2002,Roma       2,-,2     Juventus
2002-2003,07.12.2002,Milan       1,-,0     Roma
2002-2003,08.12.2002,Parma       2,-,0     Reggina
2002-2003,14.12.2002,Bologna       2,-,1     Parma
2002-2003,15.12.2002,Roma       3,-,0     Reggina
2002-2003,19.12.2002,Como       0,-,2     Udinese
2002-2003,21.12.2002,Modena       0,-,1     Udinese
2002-2003,22.12.2002,Milan       0,-,0     Brescia
2002-2003,06.01.2003,Torino       1,-,1     Atalanta
2002-2003,11.01.2003,Brescia       0,-,0     Lazio
2002-2003,12.01.2003,Roma       0,-,1     Chievo
2002-2003,18.01.2003,Parma       2,-,0     Empoli
2002-2003,19.01.2003,Milan       2,-,1     Piacenza
2002-2003,25.01.2003,Modena       0,-,2     Atalanta
2002-2003,26.01.2003,Juventus       2,-,0     Piacenza
2002-2003,01.02.2003,Roma       3,-,1     Bologna
2002-2003,02.02.2003,Milan       2,-,1     Modena
2002-2003,08.02.2003,Juventus       1,-,0     Empoli
2002-2003,09.02.2003,Inter       3,-,0     Reggina
2002-2003,15.02.2003,Roma       0,-,0     Brescia
2002-2003,16.02.2003,Milan       2,-,2     Lazio
2002-2003,22.02.2003,Torino       0,-,3     Milan
2002-2003,23.02.2003,Inter       3,-,1     Piacenza
2002-2003,01.03.2003,Parma       1,-,1     Modena
2002-2003,02.03.2003,Milan       3,-,3     Atalanta
2002-2003,08.03.2003,Roma       1,-,1     Lazio
2002-2003,09.03.2003,Milan       0,-,0     Chievo
2002-2003,15.03.2003,Juventus       3,-,0     Modena
2002-2003,16.03.2003,Inter       4,-,0     Como
2002-2003,22.03.2003,Milan       2,-,1     Juventus
2002-2003,23.03.2003,Roma       3,-,0     Piacenza
2002-2003,05.04.2003,Juventus       2,-,0     Torino
